"","klasifikasi","score","text"
"990","Netral",0," telekyg ada rambut tih malah nyusahin rakyat wadas aja lah jd contoh kecilnyaalagi klo yg model onga on"
"991","Negatif",-5,"ubannya bukan karena memikirkan rakyat tinggal dan mendengar rakyat ta rambutnya memutih karena saking merusak alamcontoh kasus wadas"
"992","Negatif",-3," jokowi ko ga tih rambutnya berarti ga mikirin rakyat lah wadas saja ha tuntas ko mau jd esiden"
"993","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"994","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"995","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"996","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"997","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"998","Netral",0," ingat wadas ingat ganjar pranowoyang terams di wadas merams tanah surga bumi wadas dengan dalil proyek strategis n"
"999","Netral",0," afah iya warga wadas kirin malah diem kwkwkw"
"1000","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"1001","Netral",0," samosir rakyat wadas sudah berbahagia dengan ganti untung yg luar biasa sam "
"1002","Netral",0,"shanty si tukanh nonton bokesi kasus e ktsi kasus wadas wan uban "
"1003","Negatif",-1," samosir membiarkan langgaran ham di wadas rakyat kecil ditindas dia dia "
"1004","Negatif",-1," si tukang nonton bokesi kasus e ktsi kasus wadas "
"1005","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"1006","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"1007","Netral",0," telekyg ada rambut tih malah nyusahin rakyat wadas aja lah jd contoh kecilnyaalagi klo yg model onga on"
"1008","Netral",0," mikirin wadashehehe"
"1009","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"1010","Netral",0," telekyg ada rambut tih malah nyusahin rakyat wadas aja lah jd contoh kecilnyaalagi klo yg model onga on"
"1011","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"1012","Negatif",-2," terlalu mengecilkan kiran normal tujuan bernegara untuk kesejahteraan rakyat bukan sekedar milih "
"1013","Netral",0,"umamlik kanjut sia beltah rakyat wadas ceurik teu boga gubernurulah ngewe wae atuh"
"1014","Netral",0," tuntutan wwarga wadas untuk ganjarojok kesusu "
"1015","Negatif",-2," kalau rambut tih mikirin rakyat kena sam ada tani kendeng yg ngecor kaki sami meninggal dunia "
"1016","Negatif",-2," oh ya hamr semua menteri rambutnya hitam ketum rl am caes kecuali gp juga rambutnya hitam ter "
"1017","Negatif",-3," caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan bua"
"1018","Negatif",-1," pemimn berambut tih sia sih pernah ngosak ngasek karst kendeng dg keluarin ijin baru karena ijin lama k"
"1019","Negatif",-1," ta ada yg rambut tih malah diem aja waktu warga wadas di tindas"
"1020","Negatif",-3,"caes yang rambutnya tih suka obral izin tanah rakyat di wadas sama kendeng yang rambutnya hitam ngerusak hutan "
"1021","Negatif",-1," pemimn berambut tih sia sih pernah ngosak ngasek karst kendeng dg keluarin ijin baru karena ijin lama k"
"1022","Negatif",-1," masih banyak orang bloon kena hoax urusan wadas wkwkwk"
"1023","Negatif",-1," wadas aja ga dikirin "
"1024","Negatif",-1," hahahaha k k langsung saja bak mau calonin ganjar di  terusin k biar indonesia jadi wadas"
"1025","Netral",0,"saewad ngurus wadas ja ngk bisabagaimana mau ngurus  rakyat kona a"
"1026","Netral",0," telekyg ada rambut tih malah nyusahin rakyat wadas aja lah jd contoh kecilnyaalagi klo yg model "
"1027","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1028","Negatif",-1," pemimn berambut tih sia sih pernah ngosak ngasek karst kendeng dg keluarin ijin baru karena ijin lama k"
"1029","Netral",0," warga wadas ditindas rakyat aan"
"1030","Negatif",-1," pemimn berambut tih sia sih pernah ngosak ngasek karst kendeng dg keluarin ijin baru karena ij "
"1031","Netral",0," ingat wadas ingat ganjar pranowoyang terams di wadas merams tanah surga bumi wadas dengan dalil proyek strategis n"
"1032","Negatif",-2," mikir rakyat wadas yaeh ngomong kde kok ga tih rambutnya a ga mikirin rakyat"
"1033","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1034","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1035","Netral",0," hahahaha ngurus wadas aja gak beres"
"1036","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1037","Netral",0,"cabul prestasi junjungan lu apa kasus wadas aja bungkam sok tegas itu lutung putih wkekekek hobby "
"1038","Netral",0," mikirin rakyat wadas "
"1039","Netral",0," start khlm yuk kak kebetulan aku ham kasus wadas"
"1040","Netral",0,"wantankri lah wadas ada di negara mana gw tany  a luuuuo"
"1041","Netral",0," a maksud lu menyangkutkan wadas"
"1042","Netral",0,"wantankri halah wadukkk taik wadas gimana"
"1043","Netral",0," wadas wadass wkwkwkw"
"1044","Negatif",-1,"knp rakyatnya miskin banjir tdk bisa diatas inrakyat wadas di ter orblm lg korupsi e kt pkgn sampai putih krn bo "
"1045","Positif",1," nich lagimasih jabat sebagai gubernursibuk coas caes ajamasalah rakyat jawa tengah wadas dllterduga ter"
"1046","Netral",0,"ingat wadas ingat ganjar pranowoyang terams di wadas merams tanah surga bumi wadas dengan dalil proyek st "
"1047","Netral",0," rakyat wadas a kendeng"
"1048","Netral",0," dari mulai kasus wadas kartu tani dirsulit untuk tani"
"1049","Netral",0,"yang gusur warga wadas jiga org yg rambutnya tih "
"1050","Negatif",-1," ta ada yg rambut tih malah diem aja waktu warga wadas di tindas"
"1051","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1052","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1053","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1054","Netral",0," sosoknya cuma dinaikin ama buzzerestasi  besar ovinsi termiskin di jawa kasus wadas e kt "
"1055","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1056","Negatif",-2," ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada yg mau iku"
"1057","Negatif",-3," llith gue mau ukebusukan sjw dan lsm yg bermain sama kasus wadas klo setuju rtl sam  ntar gue u sambil kita"
"1058","Negatif",-1," sedih "
"1059","Netral",0," yah anjeng loe cc polri tni "
"1060","Netral",0," ganjar kasus korui ektp wadas erik tohir semua bumn rugi alias mau bikin bangrut bumn buat bancakan "
"1061","Negatif",-2," lagi nyindir caes kasus korui ektp sama kasus wadas ya"
"1062","Negatif",-2," posting donk mhsiswi yg bentangkan tulisan wadas melawan wktu anda buang muka ktika sdg ngomong di d "
"1063","Positif",1," nich lagimasih jabat sebagai gubernursibuk coas caes ajamasalah rakyat jawa tengah wadas dllterduga ter"
"1064","Negatif",-2,"ternyata merekalah nindas warga desa wadasmereka lah koruor ektpmereka juga yg gagal mengurus jatengada "
"1065","Positif",2," mending kirin dulu nasib warga desa wadas "
"1066","Negatif",-4," ga ada ngalaman temr jgn diajak bisa berabe nanti kalo jd kela dusun ya isojadikan kela dusun wadas hihihi"
"1067","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1068","Positif",1," ektbangetbokebangetwadas banget"
"1069","Positif",1,"nich lagimasih jabat sebagai gubernursibuk coas caes ajamasalah rakyat jawa tengah wadas dllterduga "
"1070","Netral",0," untuk wadas aja gak bisa kok soksokan untuk indonesia "
"1071","Positif",1," uang rakyat wadas yang kamngnya digadaikan oligarki sebagai modal nyaes"
"1072","Negatif",-4," bahaya lih ganjar suka film rno ak masih ingat vidio warga wadas da menangis menyeramkan belum jad "
"1073","Positif",1," karna kita indonesia jangan lih yang sudah bikin menangis warga wadas lihlah yang sudah bikin senang "
"1074","Negatif",-1,"yah kabareskrim pagus vs rekening bni josua  t melawan  "
"1075","Negatif",-2," ah yg bener bong elo aja ga tahu wadas itu dimana udah sotoy cebong emang tolol "
"1076","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1077","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1078","Negatif",-2," achmadi prestasi nya wadas tuh sama tingkat kemiskinan"
"1079","Netral",0,"nakula sumur  "
"1080","Netral",0,"njarpiye iki  nyapres cuma di gadanggak sti wadasnjarwadaskutukkanberkelanjutan "
"1081","Netral",0," ingat warga wadas"
"1082","Positif",1," urusin dulu tuh semarang yg sering banget kebanjiran urusi dulu tuh rakyatmu yg ada di wada"
"1083","Netral",0," sumur  "
"1084","Netral",0," sukri manusia munafiksendiri suka lihat ntat mau tau tenta "
"1085","Netral",0," sumur nakula "
"1086","Netral",0," ngonokui tsrus gek ngooo nari karo buto trus di st  caion ro to ra singkrin blaaass "
"1087","Positif",3," ha ha hadi angkat ke  nyacuma satu yg di unggulkanprestasi nya apa sihbagaimana itu wadas "
"1088","Positif",1," urusin dulu tuh semarang yg sering banget kebanjiran urusi dulu tuh rakyatmu yg ada "
"1089","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1090","Positif",1," makanya uate bro skrg semua warga wadas sumringah menerima semua ganti untung tan "
"1091","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1092","Negatif",-2," foto sendirian yg seliweran itu di pandeglang des  bukan cianjur "
"1093","Negatif",-2," biasanya sca gem diatas  magnitudo gem susulan itu menurun dan terus menurun ta ini beda meski bera kali gem"
"1094","Negatif",-2," yah nyang semasa hiduya ngen bubarin fpi matinya dijulukin org baik selama hiduya menghina ulama dan mengolok ajara"
"1095","Negatif",-2," ditantang warga wadas saja malah kabur a ganjar goblog orangnya"
"1096","Negatif",-2," waduw kemiskinan dan wadas hilang beritanya tertutuncitraan di tiktokmantap"
"1097","Positif",1," cocok ituwadas us rembang"
"1098","Netral",0," jawab aj wadas a kabarnya"
"1099","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1100","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1101","Netral",0," sumur nakula  "
"1102","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1103","Negatif",-3," perangi hoax dan ujaran kebencian samikan a adanyapenanganan kasus wadas komisi iii menilai ganjar pranowo merenc"
"1104","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1105","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1106","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1107","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1108","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1109","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1110","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1111","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1112","Negatif",-1," habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1113","Netral",0," jawab dengan singkatwadas gimana kabarnya "
"1114","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1115","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1116","Netral",0,"dikir tv ngurus wadas aja ga bisa masak di lih gub terbaik"
"1117","Positif",1," nakula khan bs juga kai dana oyek oyek ektmisalnya atau oyek wadas or oyek a gituuuu"
"1118","Negatif",-1,"habishabisan kader pdip semot ganjar dari kemiskinan jateng hingga soalwadas "
"1119","Negatif",-1," coba di balas kendeng sama wadas ada kabar terbaru"
"1120","Negatif",-1," subhanallahsaya alhamdulillah belum datkalau dat akan saya balasurus wadas dan cabut ijin tambangn"
"1121","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1122","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1123","Netral",0," yah aksi tutumulut sebagai bentuk otes ke tuan rumah qatar krn mereka dilarang dukung bencong  oleh jeng tuh jeraman"
"1124","Positif",1," sekarang keliatannya baru terbuka alasan kndidu dulu ditolak jadi dirjen minerba hl ranking  di lelang jabatan e"
"1125","Negatif",-2," balas saja dengan mengatakan lebih baik bak mengurus dulu jateng terutama wadas"
"1126","Netral",0," blsnya ajaada salam dr warga wadas"
"1127","Netral",0," jawab dengan singkatwadas gimana kabarnya "
"1128","Netral",0,"dumdum pendukung caes bokekerjanya cuma kayak gini ya sekali tamlin estasinya selain wadas"
"1129","Netral",0," teriakin aja wadas gimana woi"
"1130","Netral",0," jawab dengan singkatwadas gimana kabarnya "
"1131","Negatif",-3," ini yg komentar orang goblok ngga rnah baca atsu nonton berita kalau warga wadas sudah "
"1132","Netral",0," jawab dengan singkatwadas gimana kabarnya "
"1133","Negatif",-1," subhanallahsaya alhamdulillah belum datkalau dat akan saya balasurus wadas dan cabut ijin tambangn"
"1134","Negatif",-1," bilang ma junjungan lu provinsi yg miskin d indonesia jawa tengah dan jangan d lu kan wadas yg tertin "
"1135","Positif",1," yah buat info sekedar jaga biar manteman yg anti lgbt gk kecele  kan lucu anti tkalian ndukung mereka yg ngotot ke"
"1136","Netral",0," yah gw rhatikan bebera hari temancebong loe ini gk ada satun yg bela koreng loe bu  mending loe teman"
"1137","Negatif",-1,"jadi curiga jangan kasus wadas itu awalnya dari beginiandg imingan desa mandiri energidesa riwisata lahsyar "
"1138","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1139","Netral",0," dalem seminggu ini udah x mati listrik nih katanya udah di benerin ta masa mati terus menteng wadas "
"1140","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1141","Negatif",-1," melawan monggo matur ingkang jujur kersane mboten wonten fitnahkasusrworejo"
"1142","Netral",0," min kena daerah menteng wadas jaksel itu sering bgt dam listrik nya s malam ini dam lg ada a gerangan min"
"1143","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1144","Negatif",-1," subhanallahsaya alhamdulillah belum datkalau dat akan saya balasurus wadas dan cabut ijin tambangnya"
"1145","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1146","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1147","Netral",0," wadas dan rob beresin dulu deh"
"1148","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1149","Netral",0,"mf g cuma diberikanrusuh aja saat itudan kemarin di solo juga di temt muktam "
"1150","Netral",0," kena wadas"
"1151","Positif",2," transjakarta ke wadas asyik kali"
"1152","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1153","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1154","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1155","Negatif",-1,"gsakah tambang wadas juga iya sama sungai progo jogja"
"1156","Netral",0," suya habis waktu melayani ngaduan nyelesaian nya kagak kayak wadas lucu lucu an aja mas "
"1157","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1158","Netral",0," sumur nakula  "
"1159","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1160","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1161","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1162","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1163","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1164","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1165","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1166","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1167","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1168","Netral",0,"salatri asaan th maranggi wadas wae kitu"
"1169","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1170","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1171","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1172","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1173","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1174","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1175","Netral",0," ta jangan smmenindas rakyat kayak di wadas"
"1176","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1177","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1178","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1179","Netral",0," sor wadas atau sor mana nih "
"1180","Negatif",-1," melawan setuju"
"1181","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1182","Negatif",-1," bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g ta ja"
"1183","Negatif",-1,"bola ya bola aja gak usah ngmongin litik ya g juga mau sekedar menikmati nonton rtandingan bola juga g "
"1184","Positif",1," a jateng maju wadas ye"
"1185","Netral",0," rakyat wadas yaak"
"1186","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1187","Negatif",-3," ooi urusan ramsan tanah nduduk wadas scr ksa yg bikin rakyat ber darah itu kau kir bukan kelakuan ol"
"1188","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1189","Negatif",-1," wadas tidak masuk ya"
"1190","Negatif",-1," tolong kbrin kaku ttg nasib wrg wadas ya"
"1191","Negatif",-2,"sianggusur ya ganjar duli peduli wadas nggak "
"1192","Negatif",-2," komisi hukum dpr mendati berbagai siasat merintah untuk membebaskan tanah di wadasada uya menitiuang ganti rugi"
"1193","Negatif",-1,"sogok rakytwadas menangis "
"1194","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1195","Negatif",-5,"asetragedi wadas itu bukan soal ganti rugi semata ta juga soal keberhakan dan nggunaan kekerasan keda rakyat ibumi "
"1196","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1197","Netral",0," kemiskinan gagal di rbaikibanjir yg terus terjadi tdk h ada solusirakyat wadas ditindastn "
"1198","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1199","Netral",0," id wadas bajo wae sano hubungan tak baik antara rezim orang baik dengan alam snduk bertuliskan wadas melawa"
"1200","Netral",0," sumur nakula "
"1201","Negatif",-1,"djoko bicara wadas udah beres taha sekarang anis beresin kamng bayam seul aja ga mamh resmian a "
"1202","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1203","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1204","Netral",0," bicara energi segala wong wadas aje loe rkosa demi katalis lingkungan masyarakat desa loe rusakin dasar loe sayur genjer"
"1205","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1206","Negatif",-1,"aserekam jejaknya itu wadas mobil esemka atau jadikan jateng daerah miskin di jawa ya"
"1207","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1208","Netral",0," wadas is indonesia"
"1209","Netral",0,"bar buktinya wadas baru bebera hari lalu dibereskan itu n kemungkinan besar karena rsian nya "
"1210","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1211","Netral",0," pantesan rakyat wadas dilayani dgn baikpaham kan bongmasak gak ham"
"1212","Negatif",-2," coba seandainya kyai tuban jadi warga wadas bener tak mungkin mbah kyai itu dukung ganjar wong desanya di jual sama china"
"1213","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1214","Negatif",-1,"nstr wadas melawan ganjar alias bokir "
"1215","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1216","Negatif",-1,"  desa wadas bendungan wadas merukan oyek nasional dan ada res untuk rcetan "
"1217","Netral",0," wadas nya diurus dlu k"
"1218","Negatif",-1," ini sti orang wadas "
"1219","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1220","Negatif",-1," wadas melawan"
"1221","Negatif",-2," lihat nih da seneng kan org wadas yg terdamkjadi basi klo lu mau kai isu wadas  "
"1222","Netral",0," wadas dah kelar bro "
"1223","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1224","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1225","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1226","Negatif",-1," hormati warga wadas nilai nya bera"
"1227","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1228","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1229","Positif",1," selamat gi juga jangan lu kasus wadas"
"1230","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1231","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1232","Negatif",-2," salam wadas melawanbanjir masih meluas kerusakan infrastruktur dimana dan kemiskinan masih tertinggi "
"1233","Negatif",-2," berita wadas udah basi ori kndi ukembalibaru ngisi kuota yaaashame on u sir"
"1234","Netral",0," kalau yg di wadas gimana cuk"
"1235","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1236","Netral",0,"  emang ada estasinya "
"1237","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1238","Netral",0,"clev sudah buat jateng miskinsiksa warga wadaseekuat nonton bokelagi"
"1239","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1240","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1241","Positif",1," melawan selamat muktamar muhammadiyah ke detikdetik snduk wadas melawan di rams ksa oleh arat snduk tersebut"
"1242","Negatif",-1," kronologi perampasan spanduk wadas melawan oleh aparat di muktamar muhammadiyah sabtu  november  presiden joko"
"1243","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1244","Netral",0,"eng nangisnya warga wadas"
"1245","Negatif",-2," ya dosa dia ya di wadas"
"1246","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1247","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1248","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1249","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1250","Negatif",-1," orang waras eh wadas tak lih ganjar"
"1251","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1252","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
"1253","Netral",0," kondisi wadas sdh sbgmn kh skrg"
"1254","Negatif",-3," a ndak kak ya presiden hasil ncitraan rakyat makin susah kebijakan ooligarki hukum amburadul kkn sangat meluas"
"1255","Netral",0," ganjar koruor e ktp nonton bokenjajah desa wadas bisanya ngonten aja"
"1256","Negatif",-1," habishabisan kader pdip semot ganjar pranowo mulai dari kemiskinan jateng hingga soal wadas"
